Unnamed: 0,window,threshold,sharpe,calmar,mdd,trades,direction,long_or_short,resolution,model,endpoint
0.0,0.0,0.0,,,0.0,0.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
1.0,10.0,0.0,-0.373,-0.155,1.538,1033.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
2.0,20.0,0.0,-0.499,-0.149,2.124,965.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
3.0,30.0,0.0,-0.487,-0.153,1.994,957.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
4.0,40.0,0.0,-0.261,-0.09,1.823,923.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
5.0,50.0,0.0,-0.185,-0.068,1.696,913.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
6.0,60.0,0.0,-0.179,-0.061,1.824,905.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
7.0,70.0,0.0,-0.645,-0.175,2.269,867.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
8.0,80.0,0.0,-0.627,-0.181,2.115,841.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
9.0,90.0,0.0,-0.562,-0.194,1.751,831.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
10.0,100.0,0.0,-0.801,-0.248,1.944,809.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
11.0,110.0,0.0,-0.62,-0.201,1.85,787.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
12.0,120.0,0.0,-0.229,-0.086,1.582,769.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
13.0,130.0,0.0,-0.165,-0.065,1.502,765.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
14.0,140.0,0.0,-0.265,-0.088,1.771,741.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
15.0,150.0,0.0,-0.447,-0.128,2.033,729.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
16.0,160.0,0.0,-0.332,-0.107,1.802,715.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
17.0,170.0,0.0,-0.287,-0.097,1.703,703.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
18.0,180.0,0.0,-0.23,-0.088,1.481,673.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
19.0,190.0,0.0,-0.18,-0.081,1.259,653.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
20.0,200.0,0.0,-0.035,-0.016,1.272,637.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
21.0,210.0,0.0,-0.195,-0.067,1.603,625.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
22.0,220.0,0.0,-0.458,-0.127,1.968,617.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
23.0,230.0,0.0,-0.604,-0.157,2.084,613.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
24.0,240.0,0.0,-0.849,-0.208,2.169,605.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
25.0,0.0,0.1,,,0.0,0.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
26.0,10.0,0.1,-0.334,-0.14,1.468,1018.0,momentum,long short,24h,z_score,/v1/metrics/addresses/sending_to_exchanges_count
